,Last Name,First Name,Affiliation,City,Country,Scopus Author ID,ORCID,Research Areas,Warnings
84,Brink,Justinus,,,,,,,no profile found
85,Broadway,Lauren N.,University of Louisiana at Monroe,"['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']","['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']",37661029700,,AGRI (2); BIOC (2); MEDI (2),affiliation not in list
86,Bronkhorst,Aletta,The University of British Columbia,"['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']","['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']",56270019700,,MEDI (4),
87,Brost,Philip,University of Alberta,"['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']","['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']",17433720200,,CHEM (1),affiliation not in list subject mismatch; 
88,Broster,Brett S.,The University of British Columbia,"['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']","['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']",6603832176,,NEUR (5); PSYC (3),
89,Brown,Craig,,,,,,,no profile found
90,Brown,Jessica,,,,,,,no profile found
91,Burkey,Matthew,,,,,,,no profile found
92,Burns,Kyle,,,,,,,no profile found
93,Burns,Amy,,,,,,,no profile found
94,Burrell,Erin,,,,,,,no profile found
95,Burton,Hannah,,,,,,,no profile found
96,Butterfield,Michael,,,,,,,no profile found
97,Calhoun,Laura,University of Manitoba,"['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']","['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']",7005899757,,MEDI (4); NEUR (3); PSYC (1),affiliation not in list
98,Cameron,Kristjana,"University of British Columbia, Faculty of Medicine","['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']","['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']",55644251500,,MEDI (2); PSYC (1); NURS (1),
99,Campbell,Diane Paula,,,,,,,no profile found
100,Campbell,Helen,,,,,,,no profile found
101,Carey,Paul,,,,,,,no profile found
102,Carlson,Marie,,,,,,,no profile found
