,Last Name,First Name,Affiliation,Scopus Author ID,ORCID,Research Areas,Warnings
302,Henriques,Maria Emília Roméro De Miranda,Universidade Federal da Paraíba,,,NURS (1),multiple profiles; affiliation not in list
303,Hewapathirane,Daminda,,,,,no profile found
304,Hinkle,Molli,,,,,no profile found
305,Ho,Charles P.,Steadman Philippon Research Institute,,,MEDI (149); HEAL (28); VETE (7),multiple profiles; affiliation not in list
306,Hodelet,Nicola,Ailsa Hospital,,,MEDI (6); SOCI (1),affiliation not in list
307,Hoffman,Joanne M.,University of Nebraska Omaha,,,BIOC (10); PHAR (4); MEDI (3),multiple profiles; affiliation not in list
308,Holdsworth,Rosalynd,,,,,no profile found
309,Holland Biggs,Karen,,,,,no profile found
310,Honer,William G.,"University of British Columbia, Faculty of Medicine",,0000-0002-7628-5108,MEDI (664); NEUR (364); PSYC (113),
311,Hong,Kyung Sue,The University of British Columbia,,0000-0002-1250-6151,MEDI (111); NEUR (44); PSYC (17),
312,Hope,Kim,,,,MEDI (1),affiliation not in list
313,Hosenbocus,Sheik N.,Royal Inland Hospital,,,MEDI (13),affiliation not in list
314,Howard,Andrew William,Hospital for Sick Children University of Toronto,,0000-0001-7226-6471,MEDI (327); SOCI (53); ENGI (51),multiple profiles; affiliation not in list
315,Howell-Jones,Gail,Surrey Memorial Hospital,,,MEDI (2),multiple profiles; affiliation not in list
316,Howson,Anne L.,Vancouver General Hospital,,,NEUR (1); MEDI (1),multiple profiles; affiliation not in list
317,Hui,Jacqueline C.W.,,,,,no profile found
318,Hurst-Martin,Victoria,,,,,no profile found
319,Hussain,Ijaz H.M.I.,King Edward Medical University Lahore,,,MEDI (194); MULT (6); AGRI (3),multiple profiles; affiliation not in list
320,Hutnyk,David,,,,,no profile found
321,Ignaszewski,Martha J.,Vancouver General Hospital,,,MEDI (20); PSYC (2); PHAR (2),affiliation not in list
322,Ilcewicz-Klimek,Magdalena I.,Vancouver General Hospital,,,MEDI (7); NEUR (1),affiliation not in list
323,Illing,Martin,The University of British Columbia,,,MEDI (1),
324,Inglis,Angela J.,"University of British Columbia, Faculty of Medicine",,,MEDI (39); BIOC (9); MULT (1),multiple profiles; 
325,Iro,Chinedu J.,Drug Treatment Centre Board,,,MEDI (5); ARTS (2); PSYC (2),affiliation not in list
326,Irwin,David A.J.,,,,,no profile found
327,Ishkanian,Ryan,,,,,no profile found
328,Iskander,Sam,Western University,,,NEUR (5); MEDI (5); PHAR (1),affiliation not in list
329,Iverson,Grant L.,Spaulding Rehabilitation Hospital Network,,0000-0001-7348-9570,MEDI (729); PSYC (310); NEUR (139),affiliation not in list
330,Jabbar,Faraz,University of Northern British Columbia,,,MEDI (18); PSYC (8); ARTS (6),affiliation not in list
331,Jabbar,Faiza,University Hospital Galway,,,MEDI (14); NURS (3); PSYC (3),multiple profiles; affiliation not in list
332,Jagdeo,Arun,The University of British Columbia,,,MEDI (1),
333,Jakovljević,Ivana Lulic,Institut za Medicinska Istrazivanja i Medicinu Rada,,,ENVI (42); MEDI (11); EART (9),multiple profiles; affiliation not in list
334,Jang,Kerry L.,"University of British Columbia, Faculty of Medicine",,,MEDI (210); PSYC (98); NEUR (29),
335,Jani,Aarti,University of Illinois Hospital &amp; Health Sciences System,,,MEDI (4),multiple profiles; affiliation not in list
336,Janke,Paul B.,HRL Laboratories,,,ENGI (23); PHYS (3); COMP (2),multiple profiles; affiliation not in list subject mismatch; 
337,Jee,Pamela,,,,,no profile found
338,Jenkins,Toyin,,,,,no profile found
339,Jewett,Ashley L.,The University of Texas at Austin,,,CHEM (1),affiliation not in list subject mismatch; 
340,Jia,Lingsa,"University of British Columbia, Faculty of Medicine",,,MEDI (5),
341,Jitlina,Ekaterina,,,,,no profile found
342,Jiwa,Abdulkarim,,,,,no profile found
343,Jokic,Iva,,,,,no profile found
344,Jones,Carolyn J.P.,School of Medical Sciences,,,MEDI (361); BIOC (230); AGRI (24),multiple profiles; affiliation not in list
345,Joshi,Hemlata,Govt. College Jeeran,,,PHYS (6); CHEM (1); MATH (1),multiple profiles; affiliation not in list subject mismatch; 
346,Jukes,Tara,BC​ Children​'​​s Hospital,,,PSYC (1); BIOC (1); MEDI (1),affiliation not in list
347,Junaid,Sara,The Women University Multan,,,CENG (1); ENER (1),affiliation not in list subject mismatch; 
348,Kaicker,Navin,,,,,no profile found
349,Kalenchuk,Anna Lynn,,,,,no profile found
350,Kanagarajan,Padmavathy,,,,,no profile found
351,Kandasamysomasundaram,Parthasarathy,,,,,no profile found
352,Kane,Barbara J.,,,,MEDI (2),multiple profiles; affiliation not in list
353,Kang,Gurmit,,,,,no profile found
354,Kang,Nirmal,"Riverview Hospital, Coquitlam",,,MEDI (10); NURS (1); BIOC (1),multiple profiles; affiliation not in list
355,Kang,Arvind,"Riverview Hospital, Coquitlam",,,MEDI (1); BIOC (1); NURS (1),affiliation not in list
356,Karakoc,Anastasia,,,,,no profile found
357,Karapareddy,Venugopal,Mersey Care NHS Foundation Trust,,,MEDI (1); PSYC (1),affiliation not in list
358,Kashif,Muhammad Ali,Karolinska Universitetssjukhuset,,,MEDI (99); EART (61); PHAR (36),multiple profiles; affiliation not in list
359,Katta,Balaraju B.,"All India Institute of Medical Sciences, New Delhi",,,MEDI (2); PSYC (2); ARTS (1),affiliation not in list
360,Kaye,Valerie,,,,,no profile found
361,Kealy,David,"University of British Columbia, Faculty of Medicine",,0000-0002-3679-6085,MEDI (237); PSYC (125); SOCI (30),multiple profiles; 
362,Kegel,Sheila,,,,,no profile found
363,Kennedy,Andrea,Mount Royal University,,,MEDI (13); SOCI (12); PSYC (4),multiple profiles; affiliation not in list
364,Kennedy,Christine M.,University of Virginia School of Nursing,,,MEDI (63); NURS (51); HEAL (3),multiple profiles; affiliation not in list
365,Kennedy,Kristine Alexandra,,,,,no profile found
366,Keramatian,Kamyar,Coastal Early Psychosis Intervention Program,,,MEDI (48); NEUR (14); PSYC (4),affiliation not in list
367,Khan,K. M.,University of Karachi,,,CHEM (786); BIOC (612); PHAR (550),multiple profiles; affiliation not in list
368,Khan,Shah Alam,"National University of Science &amp; Technology, Oman",,0000-0002-0729-3403,PHAR (94); MEDI (70); CHEM (59),multiple profiles; affiliation not in list
369,Khan,K. M.,University of Karachi,,,CHEM (786); BIOC (612); PHAR (550),multiple profiles; affiliation not in list
370,Khanbhai,Irfan,Vancouver General Hospital,,,MEDI (3); NEUR (1); PSYC (1),affiliation not in list
371,Khattak,Abid,St. Loman's Hospital,,,PSYC (1); ARTS (1); MEDI (1),affiliation not in list
372,Khosa,Buldip,,,,,no profile found
373,Khurram,Muhammad Shahzad,COMSATS Institute of Information Technology Lahore,,,MEDI (45); CHEM (38); ENVI (30),multiple profiles; affiliation not in list
374,Killough,Russet,,,,,no profile found
375,King,Ian P.,University of Nottingham,,,AGRI (135); BIOC (110); MEDI (59),multiple profiles; affiliation not in list
376,Klein,Carolin,West Coast Centre for Sex Therapy,,,MEDI (28); SOCI (10); PSYC (9),multiple profiles; affiliation not in list
377,Knebel,Ryan,,,,,no profile found
378,Kobiljski,Jasmina,The University of British Columbia,,,BIOC (2),
379,Koczapski,Andrzej B.,The University of British Columbia,,,MEDI (16); NEUR (5); PSYC (2),
380,Kolchak,Andriy,,,,,no profile found
381,Kolisang,Mohau,,,,,no profile found
382,Koo,Anson,,,,,no profile found
383,Kope,Terry M.,The University of British Columbia,,,MEDI (5); PSYC (2),
384,Koritar,Endre Laszlo,,,,,no profile found
385,Korkuczanska,Svetlana,,,,,no profile found
386,Korman,Lorne M.,The University of British Columbia,,,PSYC (8); MEDI (3),
387,Korn,Miriam S.,Haverford College,,,PSYC (5); SOCI (4),multiple profiles; affiliation not in list
388,Kosaka,Brenda Dale,,,,,no profile found
389,Kot,Sarina,BC Children's Hospital,,,PSYC (1); HEAL (1),affiliation not in list
390,Krausz,Michael R.,"University of British Columbia, Faculty of Medicine",,,MEDI (401); PSYC (75); NEUR (40),multiple profiles; 
391,Krawchuk,Jayson,,,,,no profile found
392,Krell,Robert D.,AstraZeneca,,,PHAR (56); BIOC (53); MEDI (36),multiple profiles; affiliation not in list
393,Krishnamoorthy,Ashok,The University of British Columbia,,,MEDI (12); NURS (3); SOCI (1),multiple profiles; 
394,Kunar,Satnam Singh,Coventry and Warwickshire Partnership NHS Trust,,,MEDI (4),affiliation not in list
395,Kundi,Pardeep Singh,Vancouver General Hospital,,,MEDI (1),affiliation not in list
396,Kunkel,Lucinda,BC Mental Health and Substance Use Services,,,MEDI (1); PSYC (1),affiliation not in list
397,Laban,Premakanthie,,,,,no profile found
398,Lachowski,Chris,University of Alberta,,,MEDI (7); IMMU (2),affiliation not in list
399,Lacroix,Robert,"University of California, San Francisco",,,MEDI (4),multiple profiles; affiliation not in list
400,Lafleur,Daniel L.,The University of British Columbia,,,AGRI (2); PSYC (2); MEDI (2),
401,Lai,Constantine,Western University,,,PSYC (4); SOCI (1),affiliation not in list
402,Laidlaw,Jennifer M.,University of Dundee School of Medicine,,,MEDI (36); SOCI (35); NURS (23),multiple profiles; affiliation not in list
403,Lalani,Roberta,,,,,no profile found
404,Lam,Raymond W.,The University of British Columbia,,0000-0001-7142-4669,MEDI (686); NEUR (198); PSYC (130),multiple profiles; 
405,LaMarre,Amanda K.,"University of California, San Francisco",,,MEDI (17); NEUR (4); BIOC (4),affiliation not in list
406,Lamba,Rakesh,,,,,no profile found
407,Lament,Richard,The University of British Columbia,,,PHAR (1); MEDI (1),
408,Lane,Carol Myhill,Cardiff &amp; Vale University Health Board,,,MEDI (83); BIOC (27); NEUR (18),multiple profiles; affiliation not in list
409,Lange,Rael T.,Defense Health Agency,,,MEDI (251); PSYC (131); NEUR (45),multiple profiles; affiliation not in list
410,Langheimer,Verena,"University of British Columbia, Faculty of Medicine",,,MEDI (3); MULT (1),
411,Langill,Michelle,Washington State University Pullman,,,NEUR (1); PSYC (1),affiliation not in list
412,Lari,Harris,University of Alberta,,,MEDI (5); NEUR (2),multiple profiles; affiliation not in list
413,Lau,Mark A.,The University of British Columbia,,,PSYC (38); MEDI (25); SOCI (3),multiple profiles; 
414,Lawrence,Julie A.,University of Otago,,,MEDI (28); NURS (12); SOCI (8),multiple profiles; affiliation not in list
415,Lax,Stuart A.,Princess Margaret Cancer Centre,,,MEDI (5); PHYS (1),multiple profiles; affiliation not in list
416,Lazar,Susan Gaber,American College of Psychiatrists,,,MEDI (21); PSYC (16); SOCI (1),affiliation not in list
417,Lee,Jerome E.,"ArcherDX, Inc.",,,BIOC (14); AGRI (4); MEDI (3),multiple profiles; affiliation not in list
418,Lee,Harrison H.,New York Eye and Ear Infirmary,,,MEDI (19),multiple profiles; affiliation not in list
419,Lee,Hella,,,,,no profile found
420,Lee,Danny Wai Hung,North District Hospital Hong Kong,,,MEDI (55); HEAL (1); NURS (1),multiple profiles; affiliation not in list
421,Leising,Julie,The University of British Columbia,,,MEDI (4),
422,Leong,Kawai,Harvard Medical School,,,BIOC (15); MEDI (9); COMP (2),multiple profiles; affiliation not in list
423,Leung,Alexander Leigh-Yin,,,,,no profile found
424,Leung,Aldrich,The University of British Columbia,,,MEDI (2); PSYC (1),multiple profiles; 
425,Levin,Alexander,Max Planck Institute for Molecular Genetics,,,BIOC (2); COMP (2),multiple profiles; affiliation not in list
426,Levy,Mark J.,University of Virginia,,,BIOC (3); CENG (2); CHEM (1),multiple profiles; affiliation not in list
427,Lewis,Jennifer E.,"University of South Florida, Tampa",,,SOCI (43); CHEM (32); BIOC (11),multiple profiles; affiliation not in list
428,Li,Jennifer S.,Duke University Medical Center,,,MEDI (435); BIOC (20); PHAR (10),multiple profiles; affiliation not in list
